Start training!
Training finished!
         47729690 function calls (45548423 primitive calls) in 69.398 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16/12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(__len__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1221(exec_module)
      366    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     4652    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
2838/2837    0.005    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
     2837    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      370    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
     2944    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
     2728    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     4628    0.017    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      370    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      367    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     5300    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     4628    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     2720    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
2652/2651    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
     2650    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     7950    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
     2650    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     2650    0.003    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    26390    0.010    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     2728    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
    26390    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     5305    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:766(is_package)
     2650    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
  2650/21    0.003    0.000    1.801    0.086 <frozen importlib._bootstrap_external>:777(exec_module)
    12410    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     2650    0.009    0.000    0.202    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     4764    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     2656    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
     2148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:945(__eq__)
     2651    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
     2650    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:980(get_resource_reader)
     4314    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(resource_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:996(is_resource)
      367    0.001    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
    94822    0.014    0.000    0.025    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        4    0.000    0.000    0.000    0.000 <string>:2(__eq__)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:287(BmpRleDecoder)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:361(DibImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.000    0.000 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.003    0.003 ExifTags.py:12(<module>)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
        1    0.000    0.000    0.000    0.000 ExifTags.py:340(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:343(Interop)
        1    0.000    0.000    0.000    0.000 ExifTags.py:351(IFD)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:63(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:101(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
     8448    0.003    0.000    0.004    0.000 Image.py:1285(getbands)
        1    0.000    0.000    0.000    0.000 Image.py:136(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:147(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:156(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:175(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:183(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:188(Quantize)
     8448    0.028    0.000   31.983    0.004 Image.py:2071(resize)
     8448    0.011    0.000    0.018    0.000 Image.py:227(_conv_type_shape)
       44    0.000    0.000    0.570    0.013 Image.py:2328(save)
        1    0.000    0.000    0.007    0.007 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2826(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2835(ImageTransformHandler)
       88    0.000    0.000    0.000    0.000 Image.py:2857(_check_size)
       44    0.000    0.000    0.001    0.000 Image.py:2878(new)
       44    0.000    0.000    0.001    0.000 Image.py:2955(frombuffer)
     8492    0.002    0.000    0.003    0.000 Image.py:300(preinit)
     8448    0.006    0.000    0.010    0.000 Image.py:3143(_decompression_bomb_check)
     8448    0.025    0.000    0.569    0.000 Image.py:3164(open)
     8448    0.027    0.000    0.533    0.000 Image.py:3233(_open_core)
        6    0.000    0.000    0.000    0.000 Image.py:3389(register_open)
        6    0.000    0.000    0.000    0.000 Image.py:3405(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:3416(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:3427(register_save_all)
       13    0.000    0.000    0.000    0.000 Image.py:3439(register_extension)
        3    0.000    0.000    0.000    0.000 Image.py:3450(register_extensions)
        3    0.000    0.000    0.000    0.000 Image.py:3471(register_decoder)
        1    0.000    0.000    0.000    0.000 Image.py:3559(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3595(Exif)
     8448    0.013    0.000    0.024    0.000 Image.py:372(_getdecoder)
     8492    0.013    0.000    0.021    0.000 Image.py:395(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:422(_E)
        1    0.000    0.000    0.000    0.000 Image.py:465(Image)
    17028    0.012    0.000    0.012    0.000 Image.py:481(__init__)
    16896    0.004    0.000    0.005    0.000 Image.py:493(width)
    16896    0.003    0.000    0.004    0.000 Image.py:497(height)
   110000    0.008    0.000    0.008    0.000 Image.py:501(size)
     8536    0.014    0.000    0.022    0.000 Image.py:505(_new)
       44    0.000    0.000    0.003    0.000 Image.py:565(_copy)
       44    0.000    0.000    0.003    0.000 Image.py:571(_ensure_mutable)
        1    0.000    0.000    0.000    0.000 Image.py:64(DecompressionBombWarning)
     8448    0.010    0.000    0.124    0.000 Image.py:663(__array_interface__)
        1    0.000    0.000    0.000    0.000 Image.py:68(DecompressionBombError)
     8448    0.026    0.000    0.096    0.000 Image.py:703(tobytes)
    33880    0.012    0.000    0.017    0.000 Image.py:809(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:33(<module>)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:46(ImageDraw)
        1    0.000    0.000    0.000    0.000 ImageEnhance.py:21(<module>)
